127.0.0.1 - - [01/Mar/2021:21:28:20 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [01/Mar/2021:21:39:10 +0900] "GET /Grass_Farm/js/highlight.pack.js HTTP/1.1" 404 846
0:0:0:0:0:0:0:1 - - [01/Mar/2021:21:39:10 +0900] "GET /Grass_Farm/js/highlight.pack.js HTTP/1.1" 404 846
0:0:0:0:0:0:0:1 - - [01/Mar/2021:21:39:18 +0900] "GET /Grass_Farm/Search.jsp?userName=f HTTP/1.1" 200 6212
0:0:0:0:0:0:0:1 - - [01/Mar/2021:21:39:21 +0900] "GET /Grass_Farm/Search.jsp?userName=%EB%82%98%EB%AF%B8%EB%A6%BC HTTP/1.1" 200 7554
0:0:0:0:0:0:0:1 - - [01/Mar/2021:21:40:11 +0900] "GET /Grass_Farm/Index.jsp HTTP/1.1" 200 9626
0:0:0:0:0:0:0:1 - - [01/Mar/2021:21:40:11 +0900] "GET /Grass_Farm/js/highlight.pack.js HTTP/1.1" 404 846
0:0:0:0:0:0:0:1 - - [01/Mar/2021:21:40:11 +0900] "GET /Grass_Farm/js/highlight.pack.js HTTP/1.1" 404 846
0:0:0:0:0:0:0:1 - - [01/Mar/2021:21:40:21 +0900] "GET /Grass_Farm/SearchRepocss.jsp?catgo=bbsTitle&search=rn HTTP/1.1" 200 4553
0:0:0:0:0:0:0:1 - - [01/Mar/2021:21:40:42 +0900] "GET /Grass_Farm/Index.jsp HTTP/1.1" 200 9626
0:0:0:0:0:0:0:1 - - [01/Mar/2021:21:40:42 +0900] "GET /Grass_Farm/js/highlight.pack.js HTTP/1.1" 404 846
0:0:0:0:0:0:0:1 - - [01/Mar/2021:21:40:42 +0900] "GET /Grass_Farm/js/highlight.pack.js HTTP/1.1" 404 846
